"origin" "uniprot" "protein" "description"
"1" "tr" "A0A075B6Y1" "A0A075B6Y1" " T cell receptor alpha joining 30 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ30 PE=4 SV=1"
"2" "tr" "A0A3B3IRS2" "A0A3B3IRS2" " Keratin-associated protein 21-1-like OS=Homo sapiens OX=9606 GN=LOC647264 PE=4 SV=1"
"3" "sp" "P01178" "NEU1" " Oxytocin-neurophysin 1 OS=Homo sapiens OX=9606 GN=OXT PE=1 SV=1"
"4" "sp" "P17275" "JUNB" " Transcription factor JunB OS=Homo sapiens OX=9606 GN=JUNB PE=1 SV=1"
"5" "sp" "P82909" "KGD4" " Alpha-ketoglutarate dehydrogenase component 4 OS=Homo sapiens OX=9606 GN=MRPS36 PE=1 SV=2"
"6" "sp" "Q1RN00" "YC018" " Putative uncharacterized protein LOC151760 OS=Homo sapiens OX=9606 PE=2 SV=1"
"7" "sp" "Q7Z4L0" "COX8C" " Cytochrome c oxidase subunit 8C, mitochondrial OS=Homo sapiens OX=9606 GN=COX8C PE=2 SV=1"
"8" "sp" "C9JCN9" "HSBPL" " Heat shock factor-binding protein 1-like protein 1 OS=Homo sapiens OX=9606 GN=HSBP1L1 PE=1 SV=2"
"9" "sp" "P0DX04" "TB15C" " Thymosin beta-15C OS=Homo sapiens OX=9606 GN=TMSB15C PE=3 SV=1"
"10" "sp" "Q14602" "ID2B" " Putative DNA-binding protein inhibitor ID-2B OS=Homo sapiens OX=9606 GN=ID2B PE=5 SV=1"
"11" "sp" "P04733" "MT1F" " Metallothionein-1F OS=Homo sapiens OX=9606 GN=MT1F PE=1 SV=1"
"12" "sp" "P0C7W6" "CC172" " Coiled-coil domain-containing protein 172 OS=Homo sapiens OX=9606 GN=CCDC172 PE=1 SV=1"
"13" "sp" "P30049" "ATPD" " ATP synthase subunit delta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1D PE=1 SV=2"
"14" "sp" "Q9H0Q3" "FXYD6" " FXYD domain-containing ion transport regulator 6 OS=Homo sapiens OX=9606 GN=FXYD6 PE=1 SV=1"
"15" "sp" "A0A075B6Y9" "TJA42" " T cell receptor alpha joining 42 OS=Homo sapiens OX=9606 GN=TRAJ42 PE=4 SV=2"
"16" "sp" "O14862" "AIM2" " Interferon-inducible protein AIM2 OS=Homo sapiens OX=9606 GN=AIM2 PE=1 SV=1"
"17" "sp" "P20749" "BCL3" " B-cell lymphoma 3 protein OS=Homo sapiens OX=9606 GN=BCL3 PE=1 SV=2"
"18" "sp" "P84243" "H33" " Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3B PE=1 SV=2"
"19" "sp" "Q08AG7" "MZT1" " Mitotic-spindle organizing protein 1 OS=Homo sapiens OX=9606 GN=MZT1 PE=1 SV=2"
"20" "sp" "Q13838" "DX39B" " Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1"
"21" "sp" "Q9UNS2" "CSN3" " COP9 signalosome complex subunit 3 OS=Homo sapiens OX=9606 GN=COPS3 PE=1 SV=3"
"22" "sp" "A0A286YF46" "SCGR5" " Small cysteine and glycine repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=SCYGR5 PE=1 SV=1"
"23" "sp" "P15516" "HIS3" " Histatin-3 OS=Homo sapiens OX=9606 GN=HTN3 PE=1 SV=2"
"24" "sp" "P32322" "P5CR1" " Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2"
"25" "sp" "Q5TA81" "LCE2C" " Late cornified envelope protein 2C OS=Homo sapiens OX=9606 GN=LCE2C PE=1 SV=1"
"26" "sp" "Q7Z6R9" "AP2D" " Transcription factor AP-2-delta OS=Homo sapiens OX=9606 GN=TFAP2D PE=1 SV=1"
"27" "sp" "Q96DC9" "OTUB2" " Ubiquitin thioesterase OTUB2 OS=Homo sapiens OX=9606 GN=OTUB2 PE=1 SV=2"
"28" "sp" "Q99879" "H2B1M" " Histone H2B type 1-M OS=Homo sapiens OX=9606 GN=H2BC14 PE=1 SV=3"
"29" "sp" "A0A1B0GTB2" "TUNAR" " Protein TUNAR OS=Homo sapiens OX=9606 GN=TUNAR PE=1 SV=2"
"30" "sp" "B3EWG6" "FM25G" " Protein FAM25G OS=Homo sapiens OX=9606 GN=FAM25G PE=3 SV=1"
"31" "sp" "O75971" "SNPC5" " snRNA-activating protein complex subunit 5 OS=Homo sapiens OX=9606 GN=SNAPC5 PE=1 SV=1"
"32" "sp" "P0C0S5" "H2AZ" " Histone H2A.Z OS=Homo sapiens OX=9606 GN=H2AZ1 PE=1 SV=2"
"33" "sp" "Q0P140" "YA037" " Putative uncharacterized protein HSD52 OS=Homo sapiens OX=9606 GN=HSD52 PE=5 SV=1"
"34" "sp" "Q16143" "SYUB" " Beta-synuclein OS=Homo sapiens OX=9606 GN=SNCB PE=1 SV=1"
"35" "sp" "Q5TCM9" "LCE5A" " Late cornified envelope protein 5A OS=Homo sapiens OX=9606 GN=LCE5A PE=1 SV=1"
"36" "sp" "Q9NQP4" "PFD4" " Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1"
"37" "sp" "O95415" "BRI3" " Brain protein I3 OS=Homo sapiens OX=9606 GN=BRI3 PE=1 SV=1"
"38" "sp" "P10997" "IAPP" " Islet amyloid polypeptide OS=Homo sapiens OX=9606 GN=IAPP PE=1 SV=1"
"39" "sp" "Q0VAQ4" "SMAGP" " Small cell adhesion glycoprotein OS=Homo sapiens OX=9606 GN=SMAGP PE=1 SV=1"
"40" "sp" "Q5RL73" "RBM48" " RNA-binding protein 48 OS=Homo sapiens OX=9606 GN=RBM48 PE=1 SV=1"
"41" "sp" "Q7RTS1" "BHA15" " Class A basic helix-loop-helix protein 15 OS=Homo sapiens OX=9606 GN=BHLHA15 PE=1 SV=1"
"42" "tr" "A0A075B6V2" "A0A075B6V2" " T cell receptor alpha joining 21 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ21 PE=4 SV=1"
"43" "sp" "A0A0B4J200" "TJB23" " T cell receptor beta joining 2-3 OS=Homo sapiens OX=9606 GN=TRBJ2-3 PE=1 SV=1"
"44" "sp" "P20472" "PRVA" " Parvalbumin alpha OS=Homo sapiens OX=9606 GN=PVALB PE=1 SV=2"
"45" "sp" "Q02575" "HEN1" " Helix-loop-helix protein 1 OS=Homo sapiens OX=9606 GN=NHLH1 PE=1 SV=1"
"46" "sp" "Q06055" "AT5G2" " ATP synthase F(0) complex subunit C2, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MC2 PE=1 SV=1"
"47" "sp" "Q8WZ92" "OR5P2" " Olfactory receptor 5P2 OS=Homo sapiens OX=9606 GN=OR5P2 PE=2 SV=1"
"48" "sp" "Q9Y3U8" "RL36" " 60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3"
"49" "sp" "A0A0A0MTA4" "TJB25" " T cell receptor beta joining 2-5 OS=Homo sapiens OX=9606 GN=TRBJ2-5 PE=4 SV=2"
"50" "sp" "B7ZW38" "HNRC3" " Heterogeneous nuclear ribonucleoprotein C-like 3 OS=Homo sapiens OX=9606 GN=HNRNPCL3 PE=2 SV=1"
"51" "sp" "O15144" "ARPC2" " Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1"
"52" "sp" "P54819" "KAD2" " Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=AK2 PE=1 SV=2"
"53" "sp" "Q8N5M4" "TTC9C" " Tetratricopeptide repeat protein 9C OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1"
"54" "sp" "Q99638" "RAD9A" " Cell cycle checkpoint control protein RAD9A OS=Homo sapiens OX=9606 GN=RAD9A PE=1 SV=1"
"55" "sp" "Q9BYQ8" "KRA49" " Keratin-associated protein 4-9 OS=Homo sapiens OX=9606 GN=KRTAP4-9 PE=2 SV=2"
"56" "tr" "A0A0A0MT85" "A0A0A0MT85" " Immunoglobulin kappa joining 2 (Fragment) OS=Homo sapiens OX=9606 GN=IGKJ2 PE=4 SV=1"
"57" "tr" "A0A0A0MTA3" "A0A0A0MTA3" " Immunoglobulin kappa joining 5 (Fragment) OS=Homo sapiens OX=9606 GN=IGKJ5 PE=4 SV=1"
